# cell id, centroid x, centroid y, centroid z, region, subregion, field
398, 1449497.92, 4919010.09, 0.00, 0, 415, 756.372751
399, 1449161.50, 4923785.99, 0.00, 1, 163, 753.813334
400, 1456399.00, 4927585.19, 0.00, 1, 159, 907.886773
401, 1449197.72, 4923749.59, 0.00, 1, 163, 737.841549
402, 1449191.09, 4923795.43, 0.00, 1, 163, 744.347986
403, 1474158.25, 4925642.19, 0.00, 3, 53, 1963.345960
404, 1449193.65, 4923797.55, 0.00, 1, 163, 657.703551
405, 1449200.68, 4923794.11, 0.00, 1, 163, 788.820368
406, 1478092.15, 4935929.69, 0.00, 2, 308, 1127.247950
407, 1452537.06, 4927296.32, 0.00, 0, 415, 659.345743
408, 1449210.10, 4923790.31, 0.00, 1, 163, 810.590194
409, 1480209.57, 4930555.23, 0.00, 4, 5, 2513.437590
410, 1469893.36, 4934670.09, 0.00, 3, 53, 1790.901830
411, 1450880.29, 4916834.88, 0.00, 0, 415, 536.302704
412, 1449546.79, 4918887.85, 0.00, 0, 415, 632.749032
413, 1449276.45, 4923714.48, 0.00, 1, 163, 898.718563
414, 1449427.20, 4919260.71, 0.00, 0, 415, 715.484146
415, 1448305.76, 4922674.56, 0.00, 1, 163, 773.456615
