# pid, centroid x, centroid y, centroid z, field, isovalue_min, isovalue_max, field_m_sigma, field_p_sigma, misclassification
47993, 1479614.84, 4931088.59, 0.00, 1941.513970, 2052.970000, 3364.610000, 2574.202550, 1308.825400, 111.456030
47994, 1479606.54, 4930968.41, 0.00, 2023.031420, 2052.970000, 3364.610000, 2902.772480, 1143.290360, 29.938580
47998, 1479579.59, 4931028.66, 0.00, 1971.193680, 2052.970000, 3364.610000, 2720.523860, 1221.863510, 81.776320
48003, 1479629.15, 4931379.23, 0.00, 1968.711730, 2052.970000, 3364.610000, 2450.197580, 1487.225870, 84.258270
48008, 1479546.84, 4931463.81, 0.00, 2027.217730, 2052.970000, 3364.610000, 2744.134250, 1310.301200, 25.752270
48011, 1479516.99, 4931303.46, 0.00, 2030.688180, 2052.970000, 3364.610000, 2757.660890, 1303.715480, 22.281820
48022, 1479507.18, 4930914.13, 0.00, 1897.520670, 2052.970000, 3364.610000, 2505.730110, 1289.311230, 155.449330
48745, 1469732.19, 4932542.29, 0.00, 2013.989110, 2052.970000, 3364.610000, 2665.580570, 1362.397640, 38.980890
48752, 1469986.62, 4932665.10, 0.00, 2049.207170, 2052.970000, 3364.610000, 2780.646450, 1317.767880, 3.762830
48757, 1469850.43, 4932707.63, 0.00, 1813.451190, 2052.970000, 3364.610000, 2255.475240, 1371.427130, 239.518810
48772, 1479556.48, 4930151.97, 0.00, 1992.675510, 2052.970000, 3364.610000, 2614.557540, 1370.793480, 60.294490
48816, 1479630.18, 4929514.49, 0.00, 1907.503080, 2052.970000, 3364.610000, 2665.814470, 1149.191690, 145.466920
48820, 1479595.76, 4930000.86, 0.00, 2046.594710, 2052.970000, 3364.610000, 2569.858150, 1523.331270, 6.375290
48835, 1479558.69, 4929548.28, 0.00, 1889.055220, 2052.970000, 3364.610000, 2488.322920, 1289.787520, 163.914780
48837, 1479647.39, 4929643.81, 0.00, 1899.918540, 2052.970000, 3364.610000, 2721.793950, 1078.043140, 153.051460
